192.168.100.224;21;abierto
192.168.100.224;22;abierto
192.168.100.224;23;abierto
192.168.100.224;25;abierto
192.168.100.224;53;abierto
192.168.100.224;80;abierto
192.168.100.224;111;abierto
192.168.100.224;139;abierto
192.168.100.224;445;abierto
192.168.100.224;512;abierto
192.168.100.224;513;abierto
192.168.100.224;514;abierto
192.168.100.224;1099;abierto
192.168.100.224;1524;abierto
192.168.100.224;2049;abierto
192.168.100.224;2121;abierto
192.168.100.224;3306;abierto
192.168.100.224;3632;abierto
192.168.100.224;5432;abierto
192.168.100.224;5900;abierto
192.168.100.224;6000;abierto
192.168.100.224;6667;abierto
192.168.100.224;6697;abierto
192.168.100.224;8009;abierto
192.168.100.224;8180;abierto
192.168.100.224;8787;abierto
